city_id,run_date,n_panos,n_quality,q_p10,q_p25,q_p50,q_p75,q_p90,pct_ge_good,pct_lt_poor,n_sequences,n_seq_mixed_foot,n_seq_mixed_org,seq_q_p25,seq_q_p50,seq_q_p75,n_foot_known,n_panos_on_foot,pct_on_foot,q_p50_on_foot,q_p50_vehicle,n_seq_on_foot,n_seq_vehicle,seq_q_p50_on_foot,seq_q_p50_vehicle,n_with_org,n_distinct_orgs,q_p50_org,q_p50_no_org,n_seq_org,n_seq_no_org,seq_q_p50_org,seq_q_p50_no_org,pct_with_org
colorado-springs--colorado--united-states,2026-08-17,1356824,1356824,0.873,0.893,0.91,0.922,0.932,65.9735,0.0046,2181,0,0,0.893,0.909,0.92,1356824,0,0.0,,0.91,0,2181,,0.909,6094,1,0.864,0.91,6,2175,0.835,0.909,0.4491
columbia--mississippi--united-states,2026-07-31,3171,3171,0.804,0.8335,0.862,0.877,0.887,0.2523,0.0,3,0,0,0.816,0.863,0.863,3171,0,0.0,,0.862,0,3,,0.863,0,0,,0.862,0,3,,0.863,0.0
columbus--georgia--united-states,2026-07-31,5757,5757,0.743,0.771,0.797,0.814,0.826,0.0,0.0869,89,0,0,0.778,0.801,0.812,5757,0,0.0,,0.797,0,89,,0.801,1857,1,0.762,0.807,24,65,0.761,0.809,32.2564
columbus--ohio--united-states,2026-07-31,4695,4695,0.624,0.669,0.767,0.853,0.879,3.8552,4.4302,9,0,0,0.715,0.833,0.835,4695,1421,30.2662,0.669,0.834,2,7,0.7092,0.833,0,0,,0.767,0,9,,0.833,0.0
combes--texas--united-states,2026-07-31,1374,1374,0.814,0.834,0.868,0.889,0.9,10.4803,0.0,6,0,0,0.836,0.8655,0.8822,1374,0,0.0,,0.868,0,6,,0.8655,0,0,,0.868,0,6,,0.8655,0.0
commerce-city--colorado--united-states,2026-07-31,137756,137756,0.797,0.837,0.875,0.894,0.906,17.4403,0.2584,3439,0,0,0.8,0.827,0.8502,137756,26,0.0189,0.8245,0.875,24,3415,0.8245,0.827,65592,4,0.849,0.884,3051,388,0.822,0.889,47.6146
concord--new-hampshire--united-states,2026-08-03,17296,17296,0.747,0.799,0.833,0.867,0.893,5.7065,0.0636,20,0,0,0.7958,0.8245,0.8502,17296,0,0.0,,0.833,0,20,,0.8245,0,0,,0.833,0,20,,0.8245,0.0
concrete--washington--united-states,2026-08-04,587,587,0.7026,0.75,0.782,0.806,0.8324,0.0,0.3407,7,0,0,0.729,0.765,0.7825,587,0,0.0,,0.782,0,7,,0.765,0,0,,0.782,0,7,,0.765,0.0
coopersville--michigan--united-states,2026-08-04,1433,1433,0.814,0.823,0.834,0.844,0.851,0.0,0.0,1,0,0,0.834,0.834,0.834,1433,0,0.0,,0.834,0,1,,0.834,0,0,,0.834,0,1,,0.834,0.0
coral-gables--florida--united-states,2026-08-04,242920,242920,0.706,0.746,0.789,0.827,0.855,0.7286,1.0012,4164,0,0,0.7575,0.798,0.833,242920,0,0.0,,0.789,0,4164,,0.798,0,0,,0.789,0,4164,,0.798,0.0
cordova--alaska--united-states,2026-08-04,605,605,0.7614,0.792,0.822,0.842,0.857,0.0,0.0,1,0,0,0.822,0.822,0.822,605,0,0.0,,0.822,0,1,,0.822,0,0,,0.822,0,1,,0.822,0.0
corsicana--texas--united-states,2026-08-04,11644,11644,0.746,0.769,0.79,0.808,0.823,0.0,2.1127,14,0,0,0.7814,0.7915,0.801,11644,0,0.0,,0.79,0,14,,0.7915,0,0,,0.79,0,14,,0.7915,0.0
corvallis--oregon--united-states,2026-08-04,552,552,0.7941,0.82,0.852,0.874,0.884,2.8986,0.1812,4,0,0,0.8455,0.857,0.8602,552,0,0.0,,0.852,0,4,,0.857,0,0,,0.852,0,4,,0.857,0.0
cottage-city--maryland--united-states,2026-08-04,718,718,0.5107,0.725,0.7775,0.815,0.84,0.0,13.649,21,0,0,0.7355,0.777,0.814,718,0,0.0,,0.7775,0,21,,0.777,718,2,0.7775,,21,0,0.777,,100.0
coupeville--washington--united-states,2026-08-04,2789,2789,0.7638,0.799,0.833,0.862,0.884,3.0118,2.7608,18,0,0,0.8063,0.8325,0.8576,2789,432,15.4894,0.8305,0.834,8,10,0.8345,0.831,0,0,,0.833,0,18,,0.8325,0.0
covington--kentucky--united-states,2026-08-04,90718,90718,0.811,0.844,0.873,0.896,0.91,20.5351,0.0022,385,0,0,0.848,0.877,0.895,90718,0,0.0,,0.873,0,385,,0.877,70097,2,0.88,0.856,303,82,0.885,0.8552,77.2691
covington--virginia--united-states,2026-08-04,2350,2350,0.742,0.759,0.7835,0.808,0.827,0.0,0.1702,6,0,0,0.7805,0.7855,0.7973,2350,0,0.0,,0.7835,0,6,,0.7855,0,0,,0.7835,0,6,,0.7855,0.0
crestwood--missouri--united-states,2026-08-05,1367,1367,0.851,0.862,0.874,0.883,0.892,2.6335,0.0,3,0,0,0.8675,0.872,0.876,1367,0,0.0,,0.874,0,3,,0.872,1367,1,0.874,,3,0,0.872,,100.0
cuenca--azuay--ecuador,2026-08-05,40168,40168,0.463,0.74,0.812,0.851,0.874,1.7178,10.9216,198,0,0,0.7993,0.84,0.8609,40168,2688,6.6919,0.816,0.812,67,131,0.825,0.849,0,0,,0.812,0,198,,0.84,0.0
culpeper--virginia--united-states,2026-08-05,873,873,0.754,0.786,0.82,0.845,0.868,0.1145,0.0,18,0,0,0.8119,0.8285,0.853,873,0,0.0,,0.82,0,18,,0.8285,873,1,0.82,,18,0,0.8285,,100.0
curico--maule-region--chile,2026-08-05,813,813,0.738,0.767,0.792,0.819,0.849,0.0,0.0,4,0,0,0.7883,0.7923,0.8113,813,0,0.0,,0.792,0,4,,0.7923,0,0,,0.792,0,4,,0.7923,0.0
dakar--dakar-region--senegal,2026-08-05,60,60,0.6514,0.7005,0.776,0.8137,0.8491,0.0,5.0,28,0,0,0.7352,0.7875,0.82,60,55,91.6667,0.772,0.823,23,5,0.775,0.823,0,0,,0.776,0,28,,0.7875,0.0
darrington--washington--united-states,2026-08-06,278,278,0.7235,0.7682,0.836,0.871,0.8883,3.5971,5.3957,2,0,0,0.8228,0.8355,0.8482,278,0,0.0,,0.836,0,2,,0.8355,0,0,,0.836,0,2,,0.8355,0.0
dayton--virginia--united-states,2026-08-06,7318,7318,0.781,0.814,0.838,0.859,0.877,1.8038,0.041,30,0,0,0.82,0.8415,0.859,7318,0,0.0,,0.838,0,30,,0.8415,0,0,,0.838,0,30,,0.8415,0.0
dearborn--michigan--united-states,2026-08-06,624658,624658,0.851,0.874,0.893,0.908,0.919,38.9618,0.0634,2856,0,0,0.879,0.893,0.903,624658,0,0.0,,0.893,0,2856,,0.893,220848,1,0.897,0.891,819,2037,0.898,0.892,35.355
